# x and y coordinates of the top of incertainty bar of SM prediction to data for MATRIX digitized from https://cms-results.web.cern.ch/cms-results/public-results/publications/TOP-20-001/CMS-TOP-20-001_Figure_019-a.png.
mtt [GeV], Ratio
381.35198135198135, 1.0178403755868544
469.93006993007, 1.0816901408450703
550.1165501165501, 1.0732394366197182
630.3030303030304, 1.087323943661972
709.5571095571097, 1.0779342723004695
789.7435897435898, 1.0863849765258213
887.6456876456876, 1.127699530516432
987.4125874125873, 1.0873239436619717
1131.0023310023312, 1.1859154929577465
1281.1188811188813, 1.1230046948356809
1475.0582750582753, 1.2666666666666668
1674.5920745920746, 1.1549295774647887
1962.7039627039628, 1.1417840375586854
2262.0046620046624, 1.5070422535211274
2562.2377622377626, 1.533333333333334
