# Ratio of SM prediction to data for MATRIX digitized from https://cms-results.web.cern.ch/cms-results/public-results/publications/TOP-20-001/CMS-TOP-20-001_Figure_019-a.png.
mtt [GeV], Ratio
382.2843822843822, 0.9521126760563379
470.8624708624709, 1.0112676056338028
550.1165501165502, 1.0028169014084503
630.3030303030304, 1.0093896713615023
710.4895104895105, 1.0065727699530516
790.6759906759908, 0.9971830985915489
887.6456876456878, 1.035680751173709
987.4125874125874, 0.9896713615023469
1131.002331002331, 1.072300469483568
1282.0512820512822, 1.0065727699530516
1475.0582750582753, 1.1154929577464787
1674.5920745920746, 1.0018779342723003
1961.7715617715621, 0.9793427230046936
2262.0046620046624, 1.2413145539906107
2562.2377622377626, 1.1906103286384975
