

# Contour value=0.67 
mZp_GeV,xsecXBR_pb
4.0955e+03,2.2020e+01
4.0804e+03,2.2940e+01
4.0653e+03,2.3860e+01
4.0503e+03,2.4780e+01
4.0352e+03,2.5700e+01
4.0201e+03,2.6620e+01
4.0050e+03,2.7540e+01
3.9899e+03,2.7409e+01
3.9749e+03,2.1987e+01
3.9741e+03,2.1625e+01
3.9598e+03,1.8348e+01
3.9447e+03,1.6969e+01
3.9296e+03,1.6098e+01
3.9146e+03,1.5272e+01
3.8995e+03,1.3892e+01
3.8844e+03,1.2512e+01
3.8693e+03,1.1132e+01
3.8659e+03,1.0812e+01
4.9832e+03,1.2055e+01
4.9698e+03,1.1800e+01
4.9548e+03,1.1511e+01
4.9397e+03,1.1223e+01
4.9246e+03,1.0934e+01
4.9183e+03,1.0812e+01


# Contour value=1.00 
mZp_GeV,xsecXBR_pb
3.3068e+03,1.0812e+01
3.2965e+03,1.6977e+01
3.2887e+03,2.1625e+01
3.2814e+03,2.5942e+01
3.2705e+03,3.2437e+01
3.2663e+03,3.4907e+01
3.2523e+03,4.3250e+01
3.2513e+03,4.3872e+01
3.2362e+03,5.2836e+01
3.2341e+03,5.4062e+01
3.2211e+03,6.1801e+01
3.2159e+03,6.4874e+01
3.2060e+03,7.0766e+01
3.1978e+03,7.5687e+01
3.1910e+03,7.9731e+01
3.1796e+03,8.6499e+01
3.1759e+03,8.8696e+01
3.1614e+03,9.7312e+01
3.1608e+03,9.7660e+01
3.1457e+03,1.0663e+02
3.1432e+03,1.0812e+02
3.1307e+03,1.1559e+02
3.1250e+03,1.1894e+02
3.1156e+03,1.2455e+02
3.1068e+03,1.2975e+02
3.1005e+03,1.3352e+02
3.0887e+03,1.4056e+02
3.0854e+03,1.4248e+02
3.0705e+03,1.5137e+02
3.0704e+03,1.5145e+02
3.0553e+03,1.6041e+02
3.0523e+03,1.6219e+02
3.0402e+03,1.7076e+02
3.0364e+03,1.7300e+02
3.0251e+03,1.8234e+02
3.0233e+03,1.8381e+02
3.0103e+03,1.9462e+02
3.0101e+03,1.9480e+02
2.9972e+03,2.0544e+02
2.9950e+03,2.0726e+02
2.9841e+03,2.1625e+02
2.9799e+03,2.1972e+02
2.9710e+03,2.2706e+02
2.9648e+03,2.3218e+02
2.9579e+03,2.3787e+02
2.9497e+03,2.4463e+02
2.9448e+03,2.4869e+02
2.9347e+03,2.5709e+02
2.9318e+03,2.5950e+02
2.9196e+03,2.6955e+02
2.9187e+03,2.7031e+02
2.9056e+03,2.8112e+02
2.9045e+03,2.8201e+02
2.8925e+03,2.9193e+02
2.8894e+03,2.9447e+02
2.8794e+03,3.0275e+02
2.8744e+03,3.0693e+02
2.8663e+03,3.1356e+02
2.8593e+03,3.1939e+02
2.8533e+03,3.2437e+02
2.8442e+03,3.3184e+02
2.8402e+03,3.3518e+02
2.8291e+03,3.4430e+02
2.8271e+03,3.4600e+02
2.8141e+03,3.5676e+02
2.8140e+03,3.5681e+02
2.8009e+03,3.6762e+02
2.7990e+03,3.6922e+02
2.7878e+03,3.7843e+02
2.7839e+03,3.8168e+02
2.7748e+03,3.8925e+02
2.7688e+03,3.9414e+02
2.7617e+03,4.0006e+02
2.7538e+03,4.0660e+02
2.7486e+03,4.1087e+02
2.7387e+03,4.1906e+02
2.7355e+03,4.2168e+02
2.7236e+03,4.3151e+02
2.7224e+03,4.3250e+02
2.7093e+03,4.4331e+02
2.7085e+03,4.4397e+02
2.6963e+03,4.5412e+02
2.6935e+03,4.5643e+02
2.6832e+03,4.6493e+02
2.6784e+03,4.6889e+02
2.6701e+03,4.7575e+02
2.6633e+03,4.8135e+02
2.6570e+03,4.8656e+02
2.6482e+03,4.9381e+02
2.6439e+03,4.9737e+02
2.6332e+03,5.0627e+02
2.6308e+03,5.0818e+02
2.6181e+03,5.1873e+02
2.6178e+03,5.1900e+02
2.6044e+03,5.2981e+02
2.6030e+03,5.3058e+02
2.5901e+03,5.4062e+02
2.5879e+03,5.4190e+02
2.5754e+03,5.5143e+02
2.5729e+03,5.5302e+02
2.5596e+03,5.6225e+02
2.5578e+03,5.6337e+02
2.5427e+03,5.7256e+02
2.5421e+03,5.7306e+02
2.5276e+03,5.8157e+02
2.5246e+03,5.8387e+02
2.5126e+03,5.9129e+02
2.5065e+03,5.9468e+02
2.4975e+03,6.0017e+02
2.4896e+03,5.9468e+02
2.4864e+03,5.8387e+02
2.4864e+03,5.7306e+02
2.4863e+03,5.6225e+02
2.4863e+03,5.5143e+02
2.4863e+03,5.4062e+02
2.4863e+03,5.2981e+02
2.4863e+03,5.1900e+02
2.4863e+03,5.0818e+02
2.4863e+03,4.9737e+02
2.4838e+03,4.8656e+02
2.4838e+03,4.7575e+02
2.4838e+03,4.6493e+02
2.4838e+03,4.5412e+02
2.4838e+03,4.4331e+02
2.4837e+03,4.3250e+02
2.4831e+03,4.2168e+02
2.4824e+03,4.1765e+02
2.4811e+03,4.1087e+02
2.4811e+03,4.0006e+02
2.4798e+03,3.8925e+02
2.4798e+03,3.7843e+02
2.4797e+03,3.6762e+02
2.4797e+03,3.5681e+02
2.4771e+03,3.4600e+02
2.4771e+03,3.3518e+02
2.4771e+03,3.2437e+02
2.4771e+03,3.1356e+02
2.4771e+03,3.0275e+02
2.4737e+03,2.9193e+02
2.4726e+03,2.8112e+02
2.4719e+03,2.7031e+02
2.4719e+03,2.5950e+02
2.4673e+03,2.4986e+02
2.4667e+03,2.4869e+02
2.4537e+03,2.3787e+02
2.4523e+03,2.3665e+02
2.4407e+03,2.2706e+02
2.4372e+03,2.2411e+02
2.4277e+03,2.1625e+02
2.4221e+03,2.1156e+02
2.4147e+03,2.0544e+02
2.4070e+03,1.9902e+02
2.4018e+03,1.9462e+02
2.3920e+03,1.8647e+02
2.3888e+03,1.8381e+02
2.3769e+03,1.7393e+02
2.3758e+03,1.7300e+02
2.3628e+03,1.6219e+02
2.3618e+03,1.6138e+02
2.3498e+03,1.5137e+02
2.3467e+03,1.4884e+02
2.3368e+03,1.4056e+02
2.3317e+03,1.3629e+02
2.3238e+03,1.2975e+02
2.3166e+03,1.2375e+02
2.3108e+03,1.1894e+02
2.3015e+03,1.1120e+02
2.2978e+03,1.0812e+02
2.2864e+03,9.8657e+01
2.2848e+03,9.7312e+01
2.2718e+03,8.6499e+01
2.2714e+03,8.6112e+01
2.2588e+03,7.5687e+01
2.2563e+03,7.3566e+01
2.2458e+03,6.4874e+01
2.2412e+03,6.1021e+01
2.2328e+03,5.4062e+01
2.2261e+03,4.8476e+01
2.2198e+03,4.3250e+01
2.2111e+03,3.5931e+01
2.2069e+03,3.2437e+01
2.1960e+03,2.3386e+01
2.1937e+03,2.1625e+01
2.1809e+03,1.5905e+01
2.1658e+03,1.5796e+01
2.1508e+03,1.5661e+01
2.1357e+03,1.5526e+01
2.1206e+03,1.5390e+01
2.1055e+03,1.5255e+01
2.0905e+03,1.5137e+01
2.0754e+03,1.5145e+01
2.0603e+03,1.5176e+01
2.0452e+03,1.5206e+01
2.0302e+03,1.5237e+01
2.0151e+03,1.5267e+01
2.0000e+03,1.5298e+01
4.3132e+03,1.0812e+01
4.3065e+03,1.1826e+01
4.2915e+03,1.4116e+01
4.2764e+03,1.5746e+01
4.2613e+03,1.6666e+01
4.2462e+03,1.7586e+01
4.2312e+03,1.8506e+01
4.2161e+03,1.9426e+01
4.2010e+03,2.0346e+01
4.1859e+03,2.1266e+01
4.1801e+03,2.1625e+01
4.1709e+03,2.2186e+01
4.1558e+03,2.3106e+01
4.1407e+03,2.4026e+01
4.1256e+03,2.4946e+01
4.1106e+03,2.5866e+01
4.0955e+03,2.6786e+01
4.0804e+03,2.7706e+01
4.0653e+03,2.8626e+01
4.0503e+03,2.9546e+01
4.0352e+03,3.0466e+01
4.0201e+03,3.1386e+01
4.0050e+03,3.2306e+01
4.0029e+03,3.2437e+01
3.9899e+03,3.3226e+01
3.9852e+03,3.2437e+01
3.9749e+03,2.9694e+01
3.9598e+03,2.2658e+01
3.9566e+03,2.1625e+01
3.9447e+03,2.0058e+01
3.9296e+03,1.8747e+01
3.9146e+03,1.7656e+01
3.8995e+03,1.6276e+01
3.8844e+03,1.4895e+01
