Analysis,r_value,mZp_GeV,xsecXBR_pb
ATLAS-EXOT-2018-48,0.6666666666666666,4096.831370712471,-2.8980054372003163
ATLAS-EXOT-2018-48,0.6666666666666666,4085.427135678392,-2.8969091206393096
ATLAS-EXOT-2018-48,0.6666666666666666,4074.29044058409,-2.8785527001775457
ATLAS-EXOT-2018-48,0.6666666666666666,4072.86432160804,-2.877330903578873
ATLAS-EXOT-2018-48,0.6666666666666666,4060.3015075376884,-2.8749500404367154
ATLAS-EXOT-2018-48,0.6666666666666666,4049.2929458975823,-2.857123720711037
ATLAS-EXOT-2018-48,0.6666666666666666,4047.738693467337,-2.8560384959738547
ATLAS-EXOT-2018-48,0.6666666666666666,4035.175879396985,-2.852180934393537
ATLAS-EXOT-2018-48,0.6666666666666666,4024.525443041447,-2.835694741244528
ATLAS-EXOT-2018-48,0.6666666666666666,4022.613065326633,-2.834825752326448
ATLAS-EXOT-2018-48,0.6666666666666666,4010.0502512562816,-2.822536816006565
ATLAS-EXOT-2018-48,0.6666666666666666,4002.3775808138694,-2.8142657617780196
ATLAS-EXOT-2018-48,0.6666666666666666,3997.4874371859296,-2.813751852431244
ATLAS-EXOT-2018-48,0.6666666666666666,3984.9246231155785,-2.7995330836958976
ATLAS-EXOT-2018-48,0.6666666666666666,3972.361809045227,-2.795686335959829
ATLAS-EXOT-2018-48,0.6666666666666666,3961.160614726408,-2.792836782311511
ATLAS-EXOT-2018-48,0.6666666666666666,3959.7989949748744,-2.7925024942327146
ATLAS-EXOT-2018-48,0.6666666666666666,3947.236180904523,-2.7892944438725418
ATLAS-EXOT-2018-48,0.6666666666666666,3934.6733668341712,-2.786098497828898
ATLAS-EXOT-2018-48,0.6666666666666666,3922.110552763819,-2.782902551785255
ATLAS-EXOT-2018-48,0.6666666666666666,3909.547738693467,-2.779706605741611
ATLAS-EXOT-2018-48,0.6666666666666666,3896.9849246231156,-2.7759111873771554
ATLAS-EXOT-2018-48,0.6666666666666666,3887.048554288197,-2.771407802845002
ATLAS-EXOT-2018-48,0.6666666666666666,3884.422110552764,-2.7702174399967943
ATLAS-EXOT-2018-48,0.6666666666666666,3871.859296482412,-2.7645236926164323
ATLAS-EXOT-2018-48,0.6666666666666666,3859.2964824120604,-2.758829945236071
ATLAS-EXOT-2018-48,0.6666666666666666,3846.733668341709,-2.7531361978557096
ATLAS-EXOT-2018-48,0.6666666666666666,3839.7671652888066,-2.7499788233784934
ATLAS-EXOT-2018-48,0.6666666666666666,3834.170854271357,-2.7464096560993996
ATLAS-EXOT-2018-48,0.6666666666666666,3821.608040201005,-2.7368124279932964
ATLAS-EXOT-2018-48,0.6666666666666666,3812.1700612458567,-2.728549843911985
ATLAS-EXOT-2018-48,0.6666666666666666,3809.0452261306536,-2.7265232521792346
ATLAS-EXOT-2018-48,0.6666666666666666,3796.4824120603016,-2.718165186390694
ATLAS-EXOT-2018-48,0.6666666666666666,3783.9195979899496,-2.709453904067126
ATLAS-EXOT-2018-48,0.6666666666666666,3780.642830688231,-2.707120864445476
ATLAS-EXOT-2018-48,0.6666666666666666,3771.3567839195975,-2.700828074152323
ATLAS-EXOT-2018-48,0.6666666666666666,3758.7939698492464,-2.6923448592522066
ATLAS-EXOT-2018-48,0.6666666666666666,3748.90568142115,-2.6856918849789673
ATLAS-EXOT-2018-48,0.6666666666666666,3746.2311557788944,-2.6838626905689176
ATLAS-EXOT-2018-48,0.6666666666666666,3733.668341708543,-2.675270576547307
ATLAS-EXOT-2018-48,0.6666666666666666,3721.1055276381912,-2.666678462525696
ATLAS-EXOT-2018-48,0.6666666666666666,3717.573661841566,-2.6642629055124587
ATLAS-EXOT-2018-48,0.6666666666666666,3708.542713567839,-2.658086348504085
ATLAS-EXOT-2018-48,0.6666666666666666,3695.979899497488,-2.649494234482474
ATLAS-EXOT-2018-48,0.6666666666666666,3686.241642261981,-2.6428339260459497
ATLAS-EXOT-2018-48,0.6666666666666666,3683.417085427136,-2.640902120460863
ATLAS-EXOT-2018-48,0.6666666666666666,3670.854271356784,-2.632310006439252
ATLAS-EXOT-2018-48,0.6666666666666666,3658.291457286432,-2.6237178924176408
ATLAS-EXOT-2018-48,0.6666666666666666,3654.909622682397,-2.621404946579441
ATLAS-EXOT-2018-48,0.6666666666666666,3645.7286432160804,-2.61512577839603
ATLAS-EXOT-2018-48,0.6666666666666666,3633.165829145729,-2.6065336643744192
ATLAS-EXOT-2018-48,0.6666666666666666,3623.5776031028126,-2.5999759671129326
ATLAS-EXOT-2018-48,0.6666666666666666,3620.603015075377,-2.5981374096258194
ATLAS-EXOT-2018-48,0.6666666666666666,3608.040201005025,-2.5895867107924784
ATLAS-EXOT-2018-48,0.6666666666666666,3595.4773869346736,-2.5800590195922104
ATLAS-EXOT-2018-48,0.6666666666666666,3593.9080275897577,-2.578546987646424
ATLAS-EXOT-2018-48,0.6666666666666666,3582.9145728643216,-2.5705325164903323
ATLAS-EXOT-2018-48,0.6666666666666666,3570.35175879397,-2.561373917546671
ATLAS-EXOT-2018-48,0.6666666666666666,3564.5139597201505,-2.557118008179915
ATLAS-EXOT-2018-48,0.6666666666666666,3557.7889447236184,-2.5523934636128818
