

# Contour value=0.67 
mPsiT_GeV,deltaM_GeV
9.4577e+02,1.1342e+02
9.4573e+02,1.1339e+02
9.4207e+02,1.1095e+02
9.3864e+02,1.0849e+02
9.3545e+02,1.0603e+02
9.3248e+02,1.0357e+02
9.3166e+02,1.0286e+02
9.2968e+02,1.0111e+02
9.2649e+02,9.8643e+01
9.2133e+02,9.6181e+01
9.1759e+02,9.5545e+01
9.1283e+02,9.3719e+01
9.0947e+02,9.1256e+01
9.0515e+02,8.8794e+01
9.0352e+02,8.8110e+01
8.9021e+02,8.8794e+01
8.8945e+02,8.8833e+01
8.8936e+02,8.8794e+01
8.8516e+02,8.6332e+01
8.8272e+02,8.3869e+01
8.8167e+02,8.1407e+01
8.8132e+02,7.8945e+01
8.8096e+02,7.6482e+01
8.8060e+02,7.4020e+01
8.8024e+02,7.1558e+01
8.7988e+02,6.9095e+01
8.7952e+02,6.6633e+01
8.7916e+02,6.4171e+01
8.7880e+02,6.1709e+01
8.7852e+02,5.9246e+01
8.7822e+02,5.6784e+01
8.7791e+02,5.4322e+01
8.7877e+02,5.1859e+01
8.8945e+02,4.9851e+01
8.9603e+02,4.9397e+01
8.9083e+02,4.6935e+01
8.9269e+02,4.4472e+01
8.8986e+02,4.2010e+01
8.8945e+02,4.1553e+01
8.8480e+02,3.9548e+01
8.7538e+02,3.7583e+01
8.7478e+02,3.7085e+01
8.7277e+02,3.4623e+01
8.6840e+02,3.2161e+01
8.6131e+02,3.0802e+01
8.5835e+02,2.9698e+01
8.5748e+02,2.7236e+01
8.5279e+02,2.4774e+01
8.4724e+02,2.3793e+01
8.4302e+02,2.4774e+01
8.3835e+02,2.7236e+01
8.3742e+02,2.9698e+01
8.3596e+02,3.2161e+01
8.3317e+02,3.3273e+01
8.1963e+02,3.4623e+01
8.1910e+02,3.4675e+01
8.1892e+02,3.4623e+01
8.1614e+02,3.2161e+01
8.1401e+02,2.9698e+01
8.1036e+02,2.7236e+01
8.0503e+02,2.6013e+01
7.9095e+02,2.6613e+01
7.8269e+02,2.7236e+01
7.7688e+02,2.7898e+01
7.6281e+02,2.7428e+01
7.6243e+02,2.7236e+01
7.6066e+02,2.4774e+01
7.5693e+02,2.2312e+01
7.4874e+02,2.0044e+01
7.3505e+02,2.2312e+01
7.3467e+02,2.2459e+01
7.3319e+02,2.2312e+01
7.2060e+02,2.1063e+01
7.0653e+02,2.1448e+01
6.9872e+02,1.9849e+01
6.9863e+02,1.7387e+01
6.9246e+02,1.6009e+01
6.7839e+02,1.7295e+01
6.7745e+02,1.7387e+01
6.6432e+02,1.8679e+01
6.5218e+02,1.7387e+01
6.5025e+02,1.7291e+01
6.3618e+02,1.7198e+01
6.2211e+02,1.5809e+01
6.1316e+02,1.4925e+01
6.0804e+02,1.4419e+01
5.9397e+02,1.2602e+01
5.7990e+02,1.3952e+01
5.6993e+02,1.4925e+01
5.6583e+02,1.5325e+01
5.5176e+02,1.6027e+01
5.3769e+02,1.4957e+01
5.3736e+02,1.4925e+01
5.2362e+02,1.3572e+01
5.1235e+02,1.2462e+01
5.0955e+02,1.2016e+01
4.9548e+02,1.0766e+01
4.8141e+02,1.2393e+01
4.8097e+02,1.2462e+01
4.6734e+02,1.3300e+01
4.5601e+02,1.4925e+01
4.5327e+02,1.5123e+01
4.5078e+02,1.4925e+01
4.3920e+02,1.3235e+01
4.2513e+02,1.2790e+01
4.2175e+02,1.2462e+01
4.1106e+02,1.0636e+01
3.9698e+02,1.1033e+01
3.8291e+02,1.0986e+01
3.7290e+02,1.2462e+01
3.6884e+02,1.2737e+01
3.5477e+02,1.3448e+01
3.4070e+02,1.3528e+01
3.2663e+02,1.2950e+01
3.2064e+02,1.2462e+01
3.1256e+02,1.1355e+01
3.0308e+02,1.2462e+01
2.9849e+02,1.3945e+01
2.8442e+02,1.2716e+01
2.7035e+02,1.2745e+01
2.5628e+02,1.3301e+01
2.4221e+02,1.2672e+01
2.4003e+02,1.2462e+01
2.2814e+02,1.0445e+01
2.1661e+02,1.2462e+01
2.1675e+02,1.4925e+01
2.1675e+02,1.7387e+01
2.1675e+02,1.9849e+01
2.1675e+02,2.2312e+01
2.1675e+02,2.4774e+01
2.1675e+02,2.7236e+01
2.1675e+02,2.9698e+01
2.1675e+02,3.2161e+01
2.1675e+02,3.4623e+01
2.1675e+02,3.7085e+01
2.1675e+02,3.9548e+01
2.1675e+02,4.2010e+01
2.1675e+02,4.4472e+01
2.1675e+02,4.6935e+01
2.1822e+02,4.9397e+01
2.1938e+02,5.1859e+01
2.1684e+02,5.4322e+01
2.1407e+02,5.5354e+01
2.0590e+02,5.6784e+01
2.0292e+02,5.9246e+01
2.0000e+02,6.0322e+01


# Contour value=1.00 
mPsiT_GeV,deltaM_GeV
1.4746e+03,5.0000e+02
1.4721e+03,4.9754e+02
1.4697e+03,4.9508e+02
1.4673e+03,4.9261e+02
1.4663e+03,4.9168e+02
1.4648e+03,4.9015e+02
1.4624e+03,4.8769e+02
1.4599e+03,4.8523e+02
1.4575e+03,4.8276e+02
1.4552e+03,4.8030e+02
1.4526e+03,4.7784e+02
1.4523e+03,4.7747e+02
1.4503e+03,4.7538e+02
1.4484e+03,4.7291e+02
1.4462e+03,4.7045e+02
1.4439e+03,4.6799e+02
1.4419e+03,4.6553e+02
1.4398e+03,4.6307e+02
1.4382e+03,4.6107e+02
1.4378e+03,4.6060e+02
1.4358e+03,4.5814e+02
1.4337e+03,4.5568e+02
1.4317e+03,4.5322e+02
1.4296e+03,4.5075e+02
1.4278e+03,4.4829e+02
1.4260e+03,4.4583e+02
1.4243e+03,4.4337e+02
1.4241e+03,4.4318e+02
1.4218e+03,4.4090e+02
1.4178e+03,4.3844e+02
1.4101e+03,4.3602e+02
1.4100e+03,4.3598e+02
1.4039e+03,4.3352e+02
1.3979e+03,4.3106e+02
1.3960e+03,4.3025e+02
1.3936e+03,4.2859e+02
1.3901e+03,4.2613e+02
1.3866e+03,4.2367e+02
1.3831e+03,4.2121e+02
1.3819e+03,4.2034e+02
1.3796e+03,4.1874e+02
1.3761e+03,4.1628e+02
1.3727e+03,4.1382e+02
1.3692e+03,4.1136e+02
1.3678e+03,4.1043e+02
1.3657e+03,4.0889e+02
1.3622e+03,4.0643e+02
1.3587e+03,4.0397e+02
1.3552e+03,4.0151e+02
1.3538e+03,4.0024e+02
1.3524e+03,3.9905e+02
1.3509e+03,3.9658e+02
1.3494e+03,3.9412e+02
1.3479e+03,3.9166e+02
1.3464e+03,3.8920e+02
1.3449e+03,3.8673e+02
1.3434e+03,3.8427e+02
1.3419e+03,3.8181e+02
1.3397e+03,3.7935e+02
1.3397e+03,3.7935e+02
1.3338e+03,3.7688e+02
1.3280e+03,3.7442e+02
1.3256e+03,3.7342e+02
1.3222e+03,3.7196e+02
1.3163e+03,3.6950e+02
1.3116e+03,3.6749e+02
1.3107e+03,3.6704e+02
1.3059e+03,3.6457e+02
1.3011e+03,3.6211e+02
1.2975e+03,3.6027e+02
1.2968e+03,3.5965e+02
1.2942e+03,3.5719e+02
1.2916e+03,3.5472e+02
1.2889e+03,3.5226e+02
1.2864e+03,3.4980e+02
1.2846e+03,3.4734e+02
1.2834e+03,3.4576e+02
1.2828e+03,3.4487e+02
1.2810e+03,3.4241e+02
1.2792e+03,3.3995e+02
1.2774e+03,3.3749e+02
1.2756e+03,3.3503e+02
1.2737e+03,3.3256e+02
1.2719e+03,3.3010e+02
1.2701e+03,3.2764e+02
1.2693e+03,3.2655e+02
1.2683e+03,3.2518e+02
1.2665e+03,3.2271e+02
1.2643e+03,3.2025e+02
1.2615e+03,3.1779e+02
1.2580e+03,3.1533e+02
1.2553e+03,3.1380e+02
1.2536e+03,3.1286e+02
1.2492e+03,3.1040e+02
1.2449e+03,3.0794e+02
1.2412e+03,3.0588e+02
1.2405e+03,3.0548e+02
1.2361e+03,3.0302e+02
1.2317e+03,3.0055e+02
1.2280e+03,2.9809e+02
1.2271e+03,2.9751e+02
1.2244e+03,2.9563e+02
1.2208e+03,2.9317e+02
1.2172e+03,2.9070e+02
1.2136e+03,2.8824e+02
1.2131e+03,2.8787e+02
1.2100e+03,2.8578e+02
1.2064e+03,2.8332e+02
1.2029e+03,2.8085e+02
1.1993e+03,2.7839e+02
1.1990e+03,2.7819e+02
1.1959e+03,2.7593e+02
1.1925e+03,2.7347e+02
1.1891e+03,2.7101e+02
1.1857e+03,2.6854e+02
