

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
4.9448e+02,4.0774e+02
4.9485e+02,4.1068e+02
4.9521e+02,4.1362e+02
4.9557e+02,4.1656e+02
4.9593e+02,4.1950e+02
4.9630e+02,4.2244e+02
4.9666e+02,4.2538e+02
4.9702e+02,4.2832e+02
4.9738e+02,4.3126e+02
4.9775e+02,4.3420e+02
4.9811e+02,4.3714e+02
4.9847e+02,4.4008e+02
4.9883e+02,4.4302e+02
4.9920e+02,4.4595e+02
4.9954e+02,4.4889e+02
4.9985e+02,4.5183e+02
5.0006e+02,4.5477e+02
5.0028e+02,4.5771e+02
5.0050e+02,4.6065e+02
5.0050e+02,4.6074e+02
5.0070e+02,4.6359e+02
5.0090e+02,4.6653e+02
5.0111e+02,4.6947e+02
5.0131e+02,4.7241e+02
5.0151e+02,4.7535e+02
5.0171e+02,4.7829e+02
5.0192e+02,4.8123e+02
5.0212e+02,4.8417e+02
5.0232e+02,4.8711e+02
5.0270e+02,4.9005e+02
5.0305e+02,4.9120e+02


# Contour value=10.00 
mPsiT_GeV,deltaM_GeV
8.0186e+02,5.0000e+00
8.0201e+02,7.9397e+00
8.0296e+02,1.0879e+01
8.0640e+02,1.3819e+01
8.0754e+02,1.4735e+01
8.1004e+02,1.6759e+01
8.1368e+02,1.9698e+01
8.1407e+02,2.0012e+01
8.1732e+02,2.2638e+01
8.2060e+02,2.5289e+01
8.2096e+02,2.5578e+01
8.2460e+02,2.8518e+01
8.2678e+02,3.1457e+01
8.2714e+02,3.2961e+01
8.2748e+02,3.4397e+01
8.2817e+02,3.7337e+01
8.2833e+02,4.0276e+01
8.2811e+02,4.3216e+01
8.2790e+02,4.6156e+01
8.2768e+02,4.9095e+01
8.2747e+02,5.2035e+01
8.2726e+02,5.4975e+01
8.2714e+02,5.6609e+01
8.2704e+02,5.7915e+01
8.2680e+02,6.0854e+01
8.2651e+02,6.3794e+01
8.2622e+02,6.6734e+01
8.2593e+02,6.9673e+01
8.2564e+02,7.2613e+01
8.2535e+02,7.5553e+01
8.2506e+02,7.8492e+01
8.2477e+02,8.1432e+01
8.2448e+02,8.4372e+01
8.2419e+02,8.7312e+01
8.2667e+02,9.0251e+01
8.2714e+02,9.0348e+01
8.3024e+02,9.0251e+01
8.3367e+02,9.0145e+01
8.4020e+02,8.9941e+01
8.4673e+02,8.9738e+01
8.5327e+02,8.9534e+01
8.5980e+02,8.9331e+01
8.6633e+02,8.9127e+01
8.7286e+02,8.8924e+01
8.7940e+02,8.8720e+01
8.8593e+02,8.8517e+01
8.9246e+02,8.8313e+01
8.9899e+02,8.8110e+01
9.0264e+02,9.0251e+01
9.0553e+02,9.1951e+01
9.0730e+02,9.3191e+01
9.1149e+02,9.6131e+01
9.1206e+02,9.6527e+01
9.1569e+02,9.9070e+01
9.1728e+02,1.0201e+02
9.1767e+02,1.0495e+02
9.1784e+02,1.0789e+02
9.1497e+02,1.1083e+02
9.1206e+02,1.1237e+02
9.0941e+02,1.1377e+02
9.0553e+02,1.1582e+02
9.0384e+02,1.1671e+02
8.9899e+02,1.1927e+02
8.9828e+02,1.1965e+02
8.9271e+02,1.2259e+02
8.9246e+02,1.2272e+02
8.8714e+02,1.2553e+02
8.8593e+02,1.2617e+02
8.8157e+02,1.2847e+02
8.7940e+02,1.2961e+02
8.7600e+02,1.3141e+02
8.7286e+02,1.3306e+02
8.7043e+02,1.3435e+02
8.6633e+02,1.3651e+02
8.6486e+02,1.3729e+02
8.5980e+02,1.3996e+02
8.5929e+02,1.4023e+02
8.5372e+02,1.4317e+02
8.5327e+02,1.4341e+02
8.4816e+02,1.4611e+02
8.4673e+02,1.4686e+02
8.4259e+02,1.4905e+02
8.4233e+02,1.5198e+02
8.4462e+02,1.5492e+02
8.4673e+02,1.5763e+02
8.4691e+02,1.5786e+02
8.4921e+02,1.6080e+02
8.5150e+02,1.6374e+02
8.5327e+02,1.6600e+02
8.5380e+02,1.6668e+02
8.5609e+02,1.6962e+02
8.5757e+02,1.7256e+02
8.5833e+02,1.7550e+02
8.5898e+02,1.7844e+02
8.5963e+02,1.8138e+02
8.5980e+02,1.8216e+02
8.6028e+02,1.8432e+02
8.6093e+02,1.8726e+02
8.6158e+02,1.9020e+02
8.6223e+02,1.9314e+02
8.6288e+02,1.9608e+02
8.6352e+02,1.9902e+02
8.6398e+02,2.0196e+02
8.6434e+02,2.0490e+02
8.6470e+02,2.0784e+02
8.6506e+02,2.1078e+02
8.6542e+02,2.1372e+02
8.6578e+02,2.1666e+02
8.6633e+02,2.1940e+02
8.6637e+02,2.1960e+02
8.6700e+02,2.2254e+02
8.6763e+02,2.2548e+02
8.6826e+02,2.2842e+02
8.6889e+02,2.3136e+02
8.6952e+02,2.3430e+02
8.7015e+02,2.3724e+02
8.7077e+02,2.4018e+02
8.7140e+02,2.4312e+02
8.7203e+02,2.4606e+02
8.7266e+02,2.4899e+02
8.7259e+02,2.5193e+02
8.7217e+02,2.5487e+02
8.7174e+02,2.5781e+02
8.7131e+02,2.6075e+02
8.7091e+02,2.6369e+02
8.7126e+02,2.6663e+02
8.7197e+02,2.6957e+02
8.7271e+02,2.7251e+02
8.7286e+02,2.7315e+02
8.7344e+02,2.7545e+02
8.7417e+02,2.7839e+02
8.7490e+02,2.8133e+02
8.7563e+02,2.8427e+02
8.7637e+02,2.8721e+02
8.7710e+02,2.9015e+02
8.7783e+02,2.9309e+02
8.7856e+02,2.9603e+02
8.7929e+02,2.9897e+02
8.7940e+02,2.9938e+02
8.8004e+02,3.0191e+02
8.8079e+02,3.0485e+02
8.8155e+02,3.0779e+02
8.8230e+02,3.1073e+02
8.8306e+02,3.1367e+02
8.8381e+02,3.1661e+02
8.8456e+02,3.1955e+02
8.8532e+02,3.2249e+02
8.8593e+02,3.2487e+02
8.8607e+02,3.2543e+02
8.8683e+02,3.2837e+02
8.8758e+02,3.3131e+02
8.8834e+02,3.3425e+02
8.8909e+02,3.3719e+02
8.8984e+02,3.4013e+02
8.9060e+02,3.4307e+02
8.9136e+02,3.4601e+02
8.9213e+02,3.4894e+02
8.9246e+02,3.4941e+02
8.9399e+02,3.5188e+02
8.9527e+02,3.5482e+02
8.9579e+02,3.5776e+02
8.9631e+02,3.6070e+02
8.9682e+02,3.6364e+02
8.9734e+02,3.6658e+02
8.9786e+02,3.6952e+02
8.9838e+02,3.7246e+02
8.9890e+02,3.7540e+02
8.9899e+02,3.7595e+02
8.9915e+02,3.7540e+02
8.9997e+02,3.7246e+02
9.0079e+02,3.6952e+02
9.0161e+02,3.6658e+02
9.0243e+02,3.6364e+02
9.0325e+02,3.6070e+02
9.0407e+02,3.5776e+02
9.0490e+02,3.5482e+02
9.0553e+02,3.5277e+02
9.0572e+02,3.5188e+02
9.1028e+02,3.4894e+02
9.1206e+02,3.4848e+02
9.1859e+02,3.4679e+02
9.2161e+02,3.4601e+02
9.2513e+02,3.4509e+02
9.3166e+02,3.4340e+02
9.3293e+02,3.4307e+02
9.3819e+02,3.4170e+02
9.4426e+02,3.4013e+02
9.4472e+02,3.4001e+02
9.5126e+02,3.3831e+02
9.5559e+02,3.3719e+02
9.5779e+02,3.3662e+02
9.6432e+02,3.3492e+02
9.6692e+02,3.3425e+02
9.7085e+02,3.3322e+02
9.7739e+02,3.3153e+02
9.7825e+02,3.3131e+02
9.8392e+02,3.2983e+02
9.8957e+02,3.2837e+02
9.9045e+02,3.2814e+02
9.9698e+02,3.2644e+02
1.0035e+03,3.2808e+02
1.0039e+03,3.2837e+02
1.0082e+03,3.3131e+02
1.0101e+03,3.3256e+02
1.0125e+03,3.3425e+02
1.0166e+03,3.3704e+02
1.0168e+03,3.3719e+02
1.0211e+03,3.4013e+02
1.0231e+03,3.4152e+02
1.0254e+03,3.4307e+02
1.0296e+03,3.4601e+02
1.0296e+03,3.4601e+02
1.0339e+03,3.4894e+02
1.0357e+03,3.5188e+02
1.0359e+03,3.5482e+02
1.0362e+03,3.5723e+02
1.0362e+03,3.5776e+02
1.0365e+03,3.6070e+02
1.0368e+03,3.6364e+02
1.0371e+03,3.6658e+02
1.0374e+03,3.6952e+02
1.0377e+03,3.7246e+02
1.0380e+03,3.7540e+02
1.0383e+03,3.7834e+02
1.0385e+03,3.8128e+02
1.0388e+03,3.8422e+02
1.0390e+03,3.8716e+02
1.0392e+03,3.9010e+02
1.0394e+03,3.9304e+02
1.0396e+03,3.9598e+02
1.0399e+03,3.9892e+02
1.0427e+03,4.0141e+02
1.0432e+03,4.0186e+02
1.0485e+03,4.0480e+02
1.0492e+03,4.0524e+02
1.0537e+03,4.0774e+02
1.0558e+03,4.0892e+02
1.0589e+03,4.1068e+02
1.0623e+03,4.1260e+02
1.0641e+03,4.1362e+02
1.0688e+03,4.1628e+02
1.0693e+03,4.1656e+02
1.0746e+03,4.1950e+02
1.0754e+03,4.1996e+02
1.0798e+03,4.2244e+02
1.0819e+03,4.2364e+02
1.0850e+03,4.2538e+02
1.0884e+03,4.2731e+02
1.0902e+03,4.2832e+02
1.0950e+03,4.3099e+02
1.0957e+03,4.3126e+02
1.1015e+03,4.3327e+02
1.1071e+03,4.3126e+02
1.1080e+03,4.3090e+02
1.1146e+03,4.2853e+02
1.1152e+03,4.2832e+02
1.1211e+03,4.2616e+02
1.1233e+03,4.2538e+02
1.1276e+03,4.2379e+02
1.1314e+03,4.2244e+02
1.1342e+03,4.2142e+02
1.1395e+03,4.1950e+02
1.1407e+03,4.1905e+02
1.1472e+03,4.1668e+02
1.1476e+03,4.1656e+02
1.1538e+03,4.1431e+02
1.1557e+03,4.1362e+02
1.1603e+03,4.1194e+02
1.1638e+03,4.1068e+02
1.1668e+03,4.0957e+02
1.1719e+03,4.0774e+02
1.1734e+03,4.0720e+02
1.1799e+03,4.0483e+02
1.1800e+03,4.0480e+02
1.1864e+03,4.0246e+02
1.1881e+03,4.0186e+02
1.1930e+03,3.9914e+02
1.1934e+03,3.9892e+02
1.1938e+03,3.9598e+02
1.1942e+03,3.9304e+02
1.1946e+03,3.9010e+02
1.1950e+03,3.8716e+02
1.1954e+03,3.8422e+02
1.1958e+03,3.8128e+02
1.1963e+03,3.7834e+02
1.1967e+03,3.7540e+02
1.1971e+03,3.7246e+02
1.1975e+03,3.6952e+02
1.1979e+03,3.6658e+02
1.1983e+03,3.6364e+02
1.1987e+03,3.6070e+02
1.1992e+03,3.5776e+02
1.1995e+03,3.5539e+02
1.2004e+03,3.5776e+02
1.2014e+03,3.6070e+02
1.2025e+03,3.6364e+02
1.2036e+03,3.6658e+02
1.2047e+03,3.6952e+02
1.2057e+03,3.7246e+02
1.2060e+03,3.7331e+02
1.2066e+03,3.7540e+02
1.2074e+03,3.7834e+02
1.2083e+03,3.8128e+02
1.2091e+03,3.8422e+02
1.2099e+03,3.8716e+02
1.2107e+03,3.9010e+02
1.2116e+03,3.9304e+02
1.2124e+03,3.9598e+02
1.2126e+03,3.9658e+02
1.2132e+03,3.9892e+02
1.2140e+03,4.0186e+02
1.2148e+03,4.0480e+02
1.2157e+03,4.0774e+02
1.2165e+03,4.1068e+02
1.2173e+03,4.1362e+02
1.2181e+03,4.1656e+02
