

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
8.2368e+02,4.3216e+01
8.2279e+02,4.6156e+01
8.2190e+02,4.9095e+01
8.2101e+02,5.2035e+01
8.2135e+02,5.4975e+01
8.2313e+02,5.7915e+01
8.2412e+02,5.9251e+01
8.2531e+02,6.0854e+01
8.2808e+02,6.3794e+01
8.3085e+02,6.6734e+01
8.3317e+02,6.9199e+01
8.3361e+02,6.9673e+01
8.3638e+02,7.2613e+01
8.3951e+02,7.5553e+01
8.4221e+02,7.8033e+01
8.4273e+02,7.8492e+01
8.4625e+02,8.1432e+01
8.4983e+02,8.4372e+01
8.5126e+02,8.5543e+01
8.5341e+02,8.7312e+01
8.5698e+02,9.0251e+01
8.6030e+02,9.2978e+01
8.6056e+02,9.3191e+01
8.6414e+02,9.6131e+01
8.6771e+02,9.9070e+01
8.6935e+02,1.0058e+02
8.7090e+02,1.0201e+02
8.7390e+02,1.0495e+02
8.7690e+02,1.0789e+02
8.7839e+02,1.0935e+02
8.7971e+02,1.1083e+02
8.8160e+02,1.1377e+02
8.8349e+02,1.1671e+02
8.8538e+02,1.1965e+02
8.8727e+02,1.2259e+02
8.8744e+02,1.2285e+02
8.8916e+02,1.2553e+02
8.9105e+02,1.2847e+02
8.9294e+02,1.3141e+02
8.9483e+02,1.3435e+02
8.9648e+02,1.3691e+02
8.9683e+02,1.3729e+02
8.9960e+02,1.4023e+02
9.0236e+02,1.4317e+02
9.0513e+02,1.4611e+02
9.0553e+02,1.4645e+02
9.1114e+02,1.4905e+02
9.1457e+02,1.5067e+02
9.1736e+02,1.5198e+02
9.2315e+02,1.5492e+02
9.2362e+02,1.5516e+02
9.2895e+02,1.5786e+02
9.3266e+02,1.5975e+02
9.3475e+02,1.6080e+02
9.4054e+02,1.6374e+02
9.4171e+02,1.6434e+02
9.4634e+02,1.6668e+02
9.5075e+02,1.6892e+02
9.5213e+02,1.6962e+02
9.5568e+02,1.7256e+02
9.5702e+02,1.7550e+02
9.5749e+02,1.7844e+02
9.5797e+02,1.8138e+02
9.5845e+02,1.8432e+02
9.5893e+02,1.8726e+02
9.5941e+02,1.9020e+02
9.5980e+02,1.9258e+02
9.5989e+02,1.9314e+02
9.6037e+02,1.9608e+02
9.6085e+02,1.9902e+02
9.6439e+02,2.0196e+02
9.6884e+02,2.0454e+02
9.6946e+02,2.0490e+02
9.7454e+02,2.0784e+02
9.7789e+02,2.0978e+02
9.7961e+02,2.1078e+02
9.8468e+02,2.1372e+02
9.8693e+02,2.1502e+02
9.8976e+02,2.1666e+02
9.9483e+02,2.1960e+02
9.9598e+02,2.2026e+02
9.9838e+02,2.2254e+02
1.0015e+03,2.2548e+02
1.0046e+03,2.2842e+02
1.0050e+03,2.2882e+02
1.0071e+03,2.3136e+02
1.0094e+03,2.3430e+02
1.0118e+03,2.3724e+02
1.0141e+03,2.4002e+02
1.0142e+03,2.4018e+02
1.0162e+03,2.4312e+02
1.0173e+03,2.4606e+02
1.0185e+03,2.4899e+02
1.0204e+03,2.5193e+02
1.0227e+03,2.5487e+02
1.0231e+03,2.5546e+02
1.0249e+03,2.5781e+02
1.0272e+03,2.6075e+02
1.0290e+03,2.6369e+02
1.0311e+03,2.6663e+02
1.0318e+03,2.6957e+02
1.0322e+03,2.7108e+02
