

# Contour value=0.67 
mPsiT_GeV,deltaM_GeV
1.4935e+03,1.4430e+02
1.4932e+03,1.4181e+02
1.4929e+03,1.3932e+02
1.4925e+03,1.3683e+02
1.4918e+03,1.3435e+02
1.4903e+03,1.3186e+02
1.4883e+03,1.2937e+02
1.4882e+03,1.2688e+02
1.4881e+03,1.2440e+02
1.4880e+03,1.2191e+02
1.4879e+03,1.1942e+02
1.4878e+03,1.1693e+02
1.4877e+03,1.1445e+02
1.4876e+03,1.1196e+02
1.4876e+03,1.0947e+02
1.4876e+03,1.0698e+02
1.4876e+03,1.0450e+02
1.4876e+03,1.0201e+02
1.4876e+03,9.9523e+01
1.4876e+03,9.7035e+01
1.4876e+03,9.4548e+01
1.4876e+03,9.2060e+01
1.4876e+03,8.9573e+01
1.4876e+03,8.7085e+01
1.4876e+03,8.4598e+01
1.4876e+03,8.2111e+01
1.4876e+03,7.9623e+01
1.4876e+03,7.7136e+01
1.4876e+03,7.4648e+01
1.4876e+03,7.2161e+01
1.4876e+03,6.9673e+01
1.4876e+03,6.7186e+01
1.4876e+03,6.4698e+01
1.4876e+03,6.2211e+01
1.4876e+03,5.9724e+01
1.4876e+03,5.7236e+01
1.4876e+03,5.4749e+01
1.4876e+03,5.2261e+01
1.4876e+03,4.9774e+01
1.4876e+03,4.7286e+01
1.4876e+03,4.4799e+01
1.4876e+03,4.2312e+01
1.4877e+03,3.9824e+01
1.4878e+03,3.7337e+01
1.4879e+03,3.4849e+01
1.4880e+03,3.2362e+01
1.4882e+03,2.9874e+01
1.4883e+03,2.7387e+01
1.4884e+03,2.4899e+01
1.4888e+03,2.2412e+01
1.4914e+03,1.9925e+01
1.4924e+03,1.7437e+01
1.4930e+03,1.4950e+01
1.4933e+03,1.2462e+01
1.4935e+03,9.9749e+00
1.4945e+03,8.8805e+00
1.4988e+03,7.4874e+00
1.5023e+03,5.0000e+00


# Contour value=1.00 
mPsiT_GeV,deltaM_GeV
1.4746e+03,5.0000e+02
1.4728e+03,4.9751e+02
1.4710e+03,4.9503e+02
1.4693e+03,4.9254e+02
1.4675e+03,4.9005e+02
1.4663e+03,4.8844e+02
1.4657e+03,4.8756e+02
1.4639e+03,4.8508e+02
1.4621e+03,4.8259e+02
1.4604e+03,4.8010e+02
1.4586e+03,4.7761e+02
1.4568e+03,4.7513e+02
1.4548e+03,4.7264e+02
1.4523e+03,4.7018e+02
1.4522e+03,4.7015e+02
1.4494e+03,4.6766e+02
1.4465e+03,4.6518e+02
1.4436e+03,4.6269e+02
1.4408e+03,4.6020e+02
1.4382e+03,4.5797e+02
1.4379e+03,4.5771e+02
1.4350e+03,4.5523e+02
1.4322e+03,4.5274e+02
1.4293e+03,4.5025e+02
1.4252e+03,4.4776e+02
1.4241e+03,4.4715e+02
1.4209e+03,4.4528e+02
1.4166e+03,4.4279e+02
1.4124e+03,4.4030e+02
1.4101e+03,4.3895e+02
1.4082e+03,4.3781e+02
1.4042e+03,4.3533e+02
1.4002e+03,4.3284e+02
1.3961e+03,4.3035e+02
1.3960e+03,4.3025e+02
1.3926e+03,4.2786e+02
1.3891e+03,4.2538e+02
1.3855e+03,4.2289e+02
1.3820e+03,4.2040e+02
1.3819e+03,4.2034e+02
1.3785e+03,4.1791e+02
1.3749e+03,4.1543e+02
1.3714e+03,4.1294e+02
1.3679e+03,4.1045e+02
1.3678e+03,4.1043e+02
1.3643e+03,4.0796e+02
1.3608e+03,4.0548e+02
1.3573e+03,4.0299e+02
1.3538e+03,4.0052e+02
1.3537e+03,4.0050e+02
1.3518e+03,3.9802e+02
1.3503e+03,3.9553e+02
1.3488e+03,3.9304e+02
1.3472e+03,3.9055e+02
1.3457e+03,3.8807e+02
1.3442e+03,3.8558e+02
1.3426e+03,3.8309e+02
1.3411e+03,3.8060e+02
1.3397e+03,3.7949e+02
1.3368e+03,3.7812e+02
1.3309e+03,3.7563e+02
1.3256e+03,3.7342e+02
1.3250e+03,3.7314e+02
1.3191e+03,3.7065e+02
1.3132e+03,3.6817e+02
1.3116e+03,3.6749e+02
1.3080e+03,3.6568e+02
1.3032e+03,3.6319e+02
1.2983e+03,3.6070e+02
1.2975e+03,3.6027e+02
1.2953e+03,3.5822e+02
1.2926e+03,3.5573e+02
1.2900e+03,3.5324e+02
1.2873e+03,3.5075e+02
1.2853e+03,3.4827e+02
1.2834e+03,3.4578e+02
1.2834e+03,3.4576e+02
1.2816e+03,3.4329e+02
1.2798e+03,3.4080e+02
1.2780e+03,3.3832e+02
1.2761e+03,3.3583e+02
1.2743e+03,3.3334e+02
1.2725e+03,3.3085e+02
1.2707e+03,3.2837e+02
1.2693e+03,3.2655e+02
1.2689e+03,3.2588e+02
1.2670e+03,3.2339e+02
1.2650e+03,3.2090e+02
1.2623e+03,3.1842e+02
1.2589e+03,3.1593e+02
1.2553e+03,3.1380e+02
1.2546e+03,3.1344e+02
1.2502e+03,3.1095e+02
1.2458e+03,3.0847e+02
1.2414e+03,3.0598e+02
1.2412e+03,3.0588e+02
1.2370e+03,3.0349e+02
1.2325e+03,3.0101e+02
1.2296e+03,2.9852e+02
1.2276e+03,2.9603e+02
1.2271e+03,2.9543e+02
1.2256e+03,2.9354e+02
1.2232e+03,2.9106e+02
1.2200e+03,2.8857e+02
1.2157e+03,2.8608e+02
1.2131e+03,2.8489e+02
1.2105e+03,2.8359e+02
1.2055e+03,2.8111e+02
1.2005e+03,2.7862e+02
1.1990e+03,2.7788e+02
1.1973e+03,2.7613e+02
1.1949e+03,2.7364e+02
1.1925e+03,2.7116e+02
1.1901e+03,2.6867e+02
1.1877e+03,2.6618e+02
1.1853e+03,2.6369e+02
1.1849e+03,2.6327e+02
1.1826e+03,2.6121e+02
1.1791e+03,2.5872e+02
1.1741e+03,2.5623e+02
1.1709e+03,2.5480e+02
1.1685e+03,2.5374e+02
1.1629e+03,2.5126e+02
1.1577e+03,2.4877e+02
1.1568e+03,2.4832e+02
1.1528e+03,2.4628e+02
1.1479e+03,2.4379e+02
1.1430e+03,2.4131e+02
1.1427e+03,2.4114e+02
1.1382e+03,2.3882e+02
1.1333e+03,2.3633e+02
1.1286e+03,2.3397e+02
1.1284e+03,2.3384e+02
1.1235e+03,2.3136e+02
1.1186e+03,2.2887e+02
1.1146e+03,2.2679e+02
1.1138e+03,2.2638e+02
1.1089e+03,2.2389e+02
1.1040e+03,2.2141e+02
1.1005e+03,2.1962e+02
1.0988e+03,2.1892e+02
1.0928e+03,2.1643e+02
1.0868e+03,2.1394e+02
1.0864e+03,2.1378e+02
1.0810e+03,2.1146e+02
1.0757e+03,2.0897e+02
1.0724e+03,2.0725e+02
1.0709e+03,2.0648e+02
1.0662e+03,2.0399e+02
1.0615e+03,2.0151e+02
1.0724e+03,2.0126e+02
1.0864e+03,2.0093e+02
1.1005e+03,1.9962e+02
1.1070e+03,1.9902e+02
1.1146e+03,1.9861e+02
1.1286e+03,1.9840e+02
1.1427e+03,1.9819e+02
1.1568e+03,1.9798e+02
1.1709e+03,1.9777e+02
1.1849e+03,1.9756e+02
1.1990e+03,1.9734e+02
1.2058e+03,1.9653e+02
1.2131e+03,1.9499e+02
1.2271e+03,1.9478e+02
1.2412e+03,1.9457e+02
1.2553e+03,1.9437e+02
1.2693e+03,1.9416e+02
1.2770e+03,1.9405e+02
1.2834e+03,1.9395e+02
1.2975e+03,1.9374e+02
1.3116e+03,1.9355e+02
1.3256e+03,1.9336e+02
1.3397e+03,1.9316e+02
1.3538e+03,1.9297e+02
1.3678e+03,1.9278e+02
1.3819e+03,1.9258e+02
1.3868e+03,1.9156e+02
1.3939e+03,1.8907e+02
1.3960e+03,1.8823e+02
1.4096e+03,1.8658e+02
1.4101e+03,1.8653e+02
1.4241e+03,1.8639e+02
1.4382e+03,1.8624e+02
1.4523e+03,1.8609e+02
1.4663e+03,1.8595e+02
1.4713e+03,1.8410e+02
1.4735e+03,1.8161e+02
1.4745e+03,1.7912e+02
1.4754e+03,1.7663e+02
1.4764e+03,1.7415e+02
1.4774e+03,1.7166e+02
1.4784e+03,1.6917e+02
1.4794e+03,1.6668e+02
1.4804e+03,1.6420e+02
1.4804e+03,1.6413e+02
1.4814e+03,1.6171e+02
1.4823e+03,1.5922e+02
1.4833e+03,1.5673e+02
1.4843e+03,1.5425e+02
1.4853e+03,1.5176e+02
1.4854e+03,1.4927e+02
1.4833e+03,1.4678e+02
1.4813e+03,1.4430e+02
1.4804e+03,1.4324e+02
1.4792e+03,1.4181e+02
1.4772e+03,1.3932e+02
1.4751e+03,1.3683e+02
1.4730e+03,1.3435e+02
1.4710e+03,1.3186e+02
1.4691e+03,1.2937e+02
1.4670e+03,1.2688e+02
1.4663e+03,1.2625e+02
1.4648e+03,1.2440e+02
1.4627e+03,1.2191e+02
1.4607e+03,1.1942e+02
1.4586e+03,1.1693e+02
1.4571e+03,1.1445e+02
1.4553e+03,1.1196e+02
1.4526e+03,1.0947e+02
1.4523e+03,1.0926e+02
1.4497e+03,1.0698e+02
1.4456e+03,1.0450e+02
1.4391e+03,1.0201e+02
1.4382e+03,1.0169e+02
1.4315e+03,9.9523e+01
1.4315e+03,9.7035e+01
1.4315e+03,9.4548e+01
1.4315e+03,9.2060e+01
1.4315e+03,8.9573e+01
1.4315e+03,8.7085e+01
1.4315e+03,8.4598e+01
1.4315e+03,8.2111e+01
1.4315e+03,7.9623e+01
1.4315e+03,7.7136e+01
1.4315e+03,7.4648e+01
1.4315e+03,7.2161e+01
1.4315e+03,6.9673e+01
1.4315e+03,6.7186e+01
1.4315e+03,6.4698e+01
1.4315e+03,6.2211e+01
1.4315e+03,5.9724e+01
1.4315e+03,5.7236e+01
1.4315e+03,5.4749e+01
1.4315e+03,5.2261e+01
1.4321e+03,4.9774e+01
1.4382e+03,4.8601e+01
1.4430e+03,4.7286e+01
1.4484e+03,4.4799e+01
1.4516e+03,4.2312e+01
1.4523e+03,4.1668e+01
1.4547e+03,3.9824e+01
