,
,
# Contour value=0.67 ,
mPsiT_GeV,deltaM_GeV
1227,550
1226.2,547.29
1225.4,544.57
1224.6,541.86
1223.7,539.15
1222.6,537.57
1221.5,536.43
1218.6,533.72
1215.7,531.01
1212.7,528.29
1209.8,525.58
1209,524.87
1207.5,522.86
1205.4,520.15
1203.3,517.44
1201.3,514.72
1199.2,512.01
1197.1,509.3
1195.5,507.21
1195.2,506.58
1193.9,503.87
1192.5,501.16
1191.2,498.44
1189.9,495.73
1188.6,493.02
1187.2,490.3
1185.9,487.59
1184.6,484.87
1183.3,482.16
1181.9,479.45
1181.9,479.37
1180.6,476.73
1179.3,474.02
1178,471.31
1176.7,468.59
1175.3,465.88
1172.7,463.17
1168.9,460.45
1168.3,460.11
1163.8,457.74
1158.6,455.03
1154.8,453.03
1153.4,452.31
1148.7,449.6
1147.2,446.88
1145.8,444.17
1144.3,441.46
1142.8,438.74
1141.3,436.03
1141.2,435.88
1139.8,433.32
1138.3,430.6
1136.8,427.89
1135.3,425.18
1133.8,422.46
1132.3,419.75
1130.8,417.04
1129.3,414.32
1127.6,411.68
1127.6,411.61
1125.8,408.89
1124.1,406.18
1122.4,403.47
1120.6,400.75
1119.2,398.04
1117.9,395.33
1116.3,392.61
1114.1,391.32
1108.5,389.9
1100.5,387.89
1099.5,387.19
1095.5,384.47
1091.5,381.76
1087.6,379.05
1086.9,378.61
1083.7,376.33
1079.8,373.62
1075.9,370.9
1073.4,369.11
1072,368.19
1067.5,365.48
1062.2,362.76
1059.8,361.61
1056.5,360.05
1050.7,357.34
1046.2,355.21
1045,354.62
1039.2,351.91
1033.9,349.2
1032.7,348.43
1029.5,346.48
1025.2,343.77
1020.8,341.06
1019.1,339.97
1016.5,338.34
1012.1,335.63
1007.8,332.91
1005.5,331.52
1003.9,330.2
1000.5,327.49
997.14,324.77
993.76,322.06
991.96,320.61
990.6,319.35
987.67,316.63
984.75,313.92
981.83,311.21
978.39,308.69
978.07,308.49
973.47,305.78
968.86,303.07
964.82,300.69
964.26,300.35
959.89,297.64
955.55,294.92
951.26,292.24
951.21,292.21
946.88,289.5
942.54,286.78
938.21,284.07
937.69,283.74
933.87,281.36
929.54,278.64
925.2,275.93
924.12,275.25
920.87,273.22
916.53,270.5
912.2,267.79
910.55,266.76
908.03,265.08
903.97,262.36
899.91,259.65
896.98,257.69
896.06,256.93
892.74,254.22
889.42,251.51
886.95,248.79
885.52,246.08
884.1,243.37
883.42,242.07
882.67,240.65
881.25,237.94
879.83,235.23
878.4,232.51
876.98,229.8
875.55,227.09
874.13,224.37
872.71,221.66
871.28,218.94
869.86,216.23
869.85,216.22
863.41,213.52
856.28,211.38
854.37,210.8
845.34,208.09
842.71,207.3
836.31,205.38
829.15,203.22
827.28,202.66
818.31,199.95
815.58,198.74
812.2,197.24
806.1,194.52
802.01,192.71
800.82,191.81
797.24,189.1
793.66,186.38
790.07,183.67
788.44,182.43
786.62,180.95
783.28,178.24
779.93,175.53
776.59,172.81
774.87,171.42
773.24,170.1
769.3,167.39
763.69,164.67
761.31,163.77
755.6,161.96
747.74,159.46
747.07,159.25
738.54,156.53
734.17,155.14
730.01,153.82
721.48,151.11
