

# Contour value=12.57 
mPsiT_GeV,deltaM_GeV
3.7223e+02,1.2714e+01
3.7322e+02,1.5427e+01
3.7422e+02,1.8141e+01
3.7527e+02,2.0854e+01
3.7657e+02,2.3568e+01
3.7801e+02,2.6281e+01
3.7947e+02,2.8995e+01
3.8078e+02,3.1709e+01
3.8141e+02,3.3083e+01
3.8201e+02,3.4422e+01
3.8324e+02,3.7136e+01
3.8447e+02,3.9849e+01
3.8569e+02,4.2563e+01
3.8692e+02,4.5276e+01
3.8815e+02,4.7990e+01
3.8934e+02,5.0704e+01
3.9044e+02,5.3417e+01
3.9154e+02,5.6131e+01
3.9264e+02,5.8844e+01
3.9374e+02,6.1558e+01
3.9484e+02,6.4271e+01
3.9497e+02,6.4596e+01
3.9644e+02,6.6985e+01
3.9811e+02,6.9698e+01
3.9978e+02,7.2412e+01
4.0146e+02,7.5126e+01
4.0328e+02,7.7839e+01
4.0509e+02,8.0553e+01
4.0690e+02,8.3266e+01
4.0854e+02,8.5718e+01
4.0879e+02,8.5980e+01
4.1140e+02,8.8693e+01
4.1401e+02,9.1407e+01
4.1661e+02,9.4121e+01
4.1861e+02,9.6834e+01
4.2021e+02,9.9548e+01
4.2156e+02,1.0226e+02
4.2211e+02,1.0340e+02
4.2287e+02,1.0497e+02
4.2419e+02,1.0769e+02
4.2550e+02,1.1040e+02
4.2720e+02,1.1312e+02
4.2884e+02,1.1583e+02
4.3043e+02,1.1854e+02
4.3227e+02,1.2126e+02
4.3411e+02,1.2397e+02
4.3568e+02,1.2627e+02
4.3596e+02,1.2668e+02
4.3780e+02,1.2940e+02
4.3964e+02,1.3211e+02
4.4148e+02,1.3482e+02
4.4333e+02,1.3754e+02
4.4517e+02,1.4025e+02
4.4701e+02,1.4296e+02
4.4885e+02,1.4568e+02
4.4925e+02,1.4626e+02
4.5070e+02,1.4839e+02
4.5232e+02,1.5111e+02
4.5364e+02,1.5382e+02
4.5496e+02,1.5653e+02
4.5628e+02,1.5925e+02
4.5760e+02,1.6196e+02
4.5892e+02,1.6467e+02
4.6024e+02,1.6739e+02
4.6155e+02,1.7010e+02
4.6281e+02,1.7269e+02
4.6287e+02,1.7281e+02
4.6419e+02,1.7553e+02
4.6551e+02,1.7824e+02
4.6683e+02,1.8095e+02
4.6836e+02,1.8367e+02
4.6985e+02,1.8638e+02
4.7133e+02,1.8910e+02
4.7296e+02,1.9181e+02
4.7458e+02,1.9452e+02
4.7620e+02,1.9724e+02
4.7638e+02,1.9754e+02
4.7783e+02,1.9995e+02
4.7907e+02,2.0266e+02
4.8030e+02,2.0538e+02
4.8154e+02,2.0809e+02
4.8277e+02,2.1080e+02
4.8400e+02,2.1352e+02
4.8524e+02,2.1623e+02
4.8647e+02,2.1894e+02
4.8771e+02,2.2166e+02
4.8894e+02,2.2437e+02
4.8995e+02,2.2659e+02
4.9020e+02,2.2709e+02
4.9157e+02,2.2980e+02
4.9294e+02,2.3251e+02
4.9431e+02,2.3523e+02
4.9568e+02,2.3794e+02
4.9705e+02,2.4065e+02
4.9842e+02,2.4337e+02
4.9980e+02,2.4608e+02
5.0113e+02,2.4879e+02
5.0217e+02,2.5151e+02
5.0340e+02,2.5422e+02
5.0352e+02,2.5449e+02
5.0501e+02,2.5693e+02
5.0662e+02,2.5965e+02
5.0826e+02,2.6236e+02
5.0989e+02,2.6508e+02
5.1153e+02,2.6779e+02
5.1316e+02,2.7050e+02
5.1479e+02,2.7322e+02
5.1643e+02,2.7593e+02
5.1709e+02,2.7702e+02
5.1806e+02,2.7864e+02
5.1969e+02,2.8136e+02
5.2133e+02,2.8407e+02
5.2296e+02,2.8678e+02
5.2460e+02,2.8950e+02
5.2623e+02,2.9221e+02
5.2786e+02,2.9492e+02
5.2950e+02,2.9764e+02
5.3065e+02,2.9965e+02
5.3106e+02,3.0035e+02
5.3212e+02,3.0307e+02
5.3318e+02,3.0578e+02
5.3424e+02,3.0849e+02
5.3530e+02,3.1121e+02
5.3636e+02,3.1392e+02
5.3742e+02,3.1663e+02
5.3848e+02,3.1935e+02
5.3954e+02,3.2206e+02
5.4060e+02,3.2477e+02
5.4165e+02,3.2749e+02
5.4281e+02,3.3020e+02
5.4401e+02,3.3291e+02
5.4422e+02,3.3340e+02
5.4522e+02,3.3563e+02
5.4643e+02,3.3834e+02
5.4765e+02,3.4106e+02
5.4886e+02,3.4377e+02
5.5008e+02,3.4648e+02
5.5129e+02,3.4920e+02
5.5232e+02,3.5191e+02
5.5326e+02,3.5462e+02
5.5421e+02,3.5734e+02
5.5515e+02,3.6005e+02
5.5610e+02,3.6276e+02
5.5704e+02,3.6548e+02
5.5779e+02,3.6762e+02
5.5799e+02,3.6819e+02
5.5893e+02,3.7090e+02
5.5988e+02,3.7362e+02
5.6082e+02,3.7633e+02
5.6177e+02,3.7905e+02
5.6282e+02,3.8176e+02
5.6385e+02,3.8447e+02
5.6490e+02,3.8719e+02
5.6598e+02,3.8990e+02
5.6706e+02,3.9261e+02
5.6814e+02,3.9533e+02
5.6922e+02,3.9804e+02
5.7020e+02,4.0075e+02
5.7090e+02,4.0347e+02
5.7136e+02,4.0520e+02
5.7161e+02,4.0618e+02
5.7233e+02,4.0889e+02
5.7306e+02,4.1161e+02
5.7382e+02,4.1432e+02
5.7476e+02,4.1704e+02
5.7570e+02,4.1975e+02
5.7664e+02,4.2246e+02
5.7758e+02,4.2518e+02
5.7852e+02,4.2789e+02
5.7946e+02,4.3060e+02
5.8040e+02,4.3332e+02
5.8134e+02,4.3603e+02
5.8228e+02,4.3874e+02
5.8322e+02,4.4146e+02
5.8416e+02,4.4417e+02
5.8492e+02,4.4638e+02
5.8510e+02,4.4688e+02
5.8604e+02,4.4960e+02
5.8651e+02,4.5231e+02
5.8692e+02,4.5503e+02
5.8745e+02,4.5774e+02
5.8817e+02,4.6045e+02
5.8889e+02,4.6317e+02
5.8961e+02,4.6588e+02
5.9032e+02,4.6859e+02
5.9104e+02,4.7131e+02
5.9176e+02,4.7402e+02
