0.23848E-06 0.36987E-09 0.00000E+01 320472 0 0 17589 0.73750E+11 0.00000E+01 -0.16721E-06 0.00000E+01 0.00000E+01 0
1 2.3723e-07 3.6084e-09 1.0597 1.3969e-06 -1.6593e-07
2 2.3607e-07 1.6846e-09 0.70313 8.1447e-07 -1.6689e-07
3 2.3788e-07 9.4019e-10 0.55073 6.3742e-07 -1.6688e-07
4 2.437e-07 1.1116e-08 2.2471 5.9467e-06 -1.7872e-07
5 2.3984e-07 3.4708e-09 1.0083 1.2658e-06 -1.732e-07
6 2.3877e-07 1.6818e-09 0.69399 7.3496e-07 -1.6619e-07
7 2.418e-07 1.0741e-08 2.1883 5.2212e-06 -1.655e-07
8 2.3741e-07 3.5341e-09 1.0371 1.3892e-06 -1.6465e-07
9 2.3976e-07 1.6749e-09 0.6883 7.2489e-07 -1.6692e-07
10 2.3458e-07 1.0577e-08 2.2213 5.1805e-06 -1.6259e-07
11 2.3566e-07 3.4288e-09 1.0137 1.2345e-06 -1.5981e-07
12 2.4003e-07 1.6652e-09 0.68356 7.6482e-07 -1.6857e-07
13 2.3852e-07 3.4909e-09 1.0197 1.3094e-06 -1.6431e-07
14 2.3858e-07 1.6627e-09 0.68666 9.2096e-07 -1.6627e-07
15 2.3793e-07 9.2657e-10 0.54264 6.4161e-07 -1.6827e-07
16 2.4002e-07 3.4655e-09 1.0059 1.2607e-06 -1.7087e-07
17 2.3568e-07 1.653e-09 0.69105 7.3119e-07 -1.6715e-07
18 2.3811e-07 9.2785e-10 0.54297 6.1885e-07 -1.6823e-07
19 2.4029e-07 3.5209e-09 1.0209 1.4012e-06 -1.7593e-07
20 2.4324e-07 1.6721e-09 0.67734 7.7318e-07 -1.6955e-07
21 2.4026e-07 9.2524e-10 0.53661 6.7557e-07 -1.67e-07
22 2.3536e-07 9.9604e-09 2.0849 4.5327e-06 -1.7309e-07
23 2.3088e-07 3.6127e-09 1.0902 1.5953e-06 -1.6523e-07
24 2.3793e-07 1.7437e-09 0.7221 8.6854e-07 -1.7073e-07
25 2.42e-07 3.6214e-09 1.0426 1.6019e-06 -1.6386e-07
26 2.4002e-07 1.7195e-09 0.70589 9.6714e-07 -1.699e-07
27 2.3835e-07 9.512e-10 0.55607 6.4985e-07 -1.6541e-07
28 2.3907e-07 3.4926e-09 1.0178 1.5274e-06 -1.6826e-07
29 2.3759e-07 1.6805e-09 0.6969 8.5122e-07 -1.6048e-07
30 2.3896e-07 9.2756e-10 0.54087 6.7958e-07 -1.6676e-07
31 2.5669e-07 1.1998e-08 2.3027 5.343e-06 -1.723e-07
32 2.3548e-07 3.3153e-09 0.98089 1.1246e-06 -1.6132e-07
33 2.3758e-07 1.63e-09 0.676 7.0364e-07 -1.6887e-07
34 2.3745e-07 1.0873e-08 2.2558 5.3551e-06 -1.7875e-07
35 2.3582e-07 3.4958e-09 1.0328 1.4308e-06 -1.679e-07
36 2.3889e-07 1.6577e-09 0.68371 8.0495e-07 -1.6495e-07
<lo_statistics>
<cumulated_time> 10.326411 </cumulated_time>
</lo_statistics>
